Code,Metric,Year,Value
CYM,pop,2010,0.056672
CYM,rgdpe,2019,4560.362793
CYM,pop,2019,0.064948
CYP,rgdpe,1960,2290.439697
CYP,pop,1960,0.572084479
CYP,rgdpe,1970,4764.698242
CYP,pop,1970,0.613618
CYP,rgdpe,1980,6755.622559
CYP,pop,1980,0.5086
CYP,rgdpe,1990,12912.96289
CYP,pop,1990,0.5794
CYP,rgdpe,2000,19744.46094
CYP,pop,2000,0.6936
CYP,rgdpe,2010,31170.12305
CYP,pop,2010,0.829446
CYP,rgdpe,2019,33667.37891
CYP,pop,2019,0.868495
CZE,rgdpe,1990,251778.5156
CZE,pop,1990,10.340875
CZE,rgdpe,2000,228781.7813
CZE,pop,2000,10.289373
CZE,rgdpe,2010,330190.1875
CZE,pop,2010,10.536518
CZE,rgdpe,2019,435327.75
CZE,pop,2019,10.689209
DEU,rgdpe,1960,815061.0625
DEU,pop,1960,73.19634515
DEU,rgdpe,1970,1271577.75
DEU,pop,1970,78.578385
DEU,rgdpe,1980,1736207.5
DEU,pop,1980,78.2831
DEU,rgdpe,1990,2204374.25
DEU,pop,1990,79.053984
DEU,rgdpe,2000,3030096
DEU,pop,2000,81.400882
DEU,rgdpe,2010,3531649.25
DEU,pop,2010,80.827002
DEU,rgdpe,2019,4308663.5
DEU,pop,2019,83.517045
DJI,rgdpe,1970,1181.031494
DJI,pop,1970,0.159659
DJI,rgdpe,1980,1397.903442
DJI,pop,1980,0.35896
DJI,rgdpe,1990,1402.483032
DJI,pop,1990,0.590398
DJI,rgdpe,2000,1788.957031
DJI,pop,2000,0.717584
DJI,rgdpe,2010,2344.955566
DJI,pop,2010,0.840198
DJI,rgdpe,2019,6935.125977
DJI,pop,2019,0.97356
DMA,rgdpe,1970,266.8939514
DMA,pop,1970,0.071073
DMA,rgdpe,1980,358.2904663
DMA,pop,1980,0.075314
DMA,rgdpe,1990,575.2615967
DMA,pop,1990,0.070419
DMA,rgdpe,2000,617.6069946
DMA,pop,2000,0.06965
DMA,rgdpe,2010,761.086731
DMA,pop,2010,0.070878
DMA,rgdpe,2019,839.9813232
DMA,pop,2019,0.071808
DNK,rgdpe,1960,63417.57422
DNK,pop,1960,4.583308411
DNK,rgdpe,1970,104707.875
DNK,pop,1970,4.931241
DNK,rgdpe,1980,128315.7344
DNK,pop,1980,5.123945
DNK,rgdpe,1990,143998.8438
DNK,pop,1990,5.141115
DNK,rgdpe,2000,203064.2344
DNK,pop,2000,5.341194
DNK,rgdpe,2010,260895.0938
DNK,pop,2010,5.554844
DNK,rgdpe,2019,322604
DNK,pop,2019,5.771876
DOM,rgdpe,1960,8471.453125
DOM,pop,1960,3.287722677
DOM,rgdpe,1970,14660.63379
DOM,pop,1970,4.49972
DOM,rgdpe,1980,28607.11914
DOM,pop,1980,5.803927
DOM,rgdpe,1990,35342.62891
DOM,pop,1990,7.133494
DOM,rgdpe,2000,72118.98438
DOM,pop,2000,8.471321
DOM,rgdpe,2010,120946.6719
DOM,pop,2010,9.695121
DOM,rgdpe,2019,190801.6094
DOM,pop,2019,10.738958
DZA,rgdpe,1960,67223.83594
DZA,pop,1960,11.32676745
DZA,rgdpe,1970,89408.42188
DZA,pop,1970,14.464985
DZA,rgdpe,1980,242799.5313
DZA,pop,1980,19.221665
DZA,rgdpe,1990,243776.5156
DZA,pop,1990,25.758869
DZA,rgdpe,2000,340374.7188
DZA,pop,2000,31.042235
DZA,rgdpe,2010,515510.2188
DZA,pop,2010,35.977455
DZA,rgdpe,2019,488849.9375
DZA,pop,2019,43.053054
ECU,rgdpe,1960,19233.29883
ECU,pop,1960,4.512710315
ECU,rgdpe,1970,30701.87695
ECU,pop,1970,6.069376
ECU,rgdpe,1980,62852.26172
ECU,pop,1980,7.989186
ECU,rgdpe,1990,63798.62891
ECU,pop,1990,10.230934
ECU,rgdpe,2000,71055.02344
ECU,pop,2000,12.681123
ECU,rgdpe,2010,142233.5313
ECU,pop,2010,15.011117
ECU,rgdpe,2019,195253.75
ECU,pop,2019,17.373662
EGY,rgdpe,1960,20488.00391
EGY,pop,1960,27.59811676
EGY,rgdpe,1970,41298.45703
EGY,pop,1970,34.51385
EGY,rgdpe,1980,60804
EGY,pop,1980,43.309063
EGY,rgdpe,1990,125615.4453
EGY,pop,1990,56.134475
EGY,rgdpe,2000,356739.9688
EGY,pop,2000,68.831561
EGY,rgdpe,2010,798978.125
EGY,pop,2010,82.761235
EGY,rgdpe,2019,1101960.875
EGY,pop,2019,100.388073
ESP,rgdpe,1960,191589.5781
ESP,pop,1960,30.64776237
ESP,rgdpe,1970,400270.5625
ESP,pop,1970,33.883749
ESP,rgdpe,1980,602491.1875
ESP,pop,1980,37.698196
ESP,rgdpe,1990,743066
ESP,pop,1990,39.202525
ESP,rgdpe,2000,1169053.25
ESP,pop,2000,40.824754
ESP,rgdpe,2010,1660500.625
ESP,pop,2010,46.931015
ESP,rgdpe,2019,1932610.75
ESP,pop,2019,46.736776
EST,rgdpe,1990,17757.0625
EST,pop,1990,1.565246
EST,rgdpe,2000,18229.95703
EST,pop,2000,1.399112
EST,rgdpe,2010,33054.47656
EST,pop,2010,1.332101
